,City,Country,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,Faya,SA,18.39,42.45,59.0,50,0,1.05,1605316808
1,Tasiilaq,GL,65.61,-37.64,19.4,52,99,3.36,1605316808
2,Mandalgovi,MN,45.76,106.27,30.9,76,0,5.48,1605316808
3,Mataura,NZ,-46.19,168.86,69.01,51,100,13.0,1605316808
4,Riyadh,SA,24.69,46.72,62.6,67,0,5.82,1605316642
5,Yellowknife,CA,62.46,-114.35,5.0,77,90,11.41,1605316808
6,Neiafu,TO,-18.65,-173.98,82.4,78,20,11.41,1605316808
7,Chui,UY,-33.7,-53.46,63.48,97,37,4.56,1605316809
8,Bredasdorp,ZA,-34.53,20.04,53.6,93,31,2.24,1605316809
9,Port Alfred,ZA,-33.59,26.89,67.96,72,0,18.54,1605316809
10,Martapura,ID,-3.42,114.85,84.2,83,20,3.36,1605316809
11,Bambanglipuro,ID,-7.95,110.28,85.75,69,12,3.33,1605316809
12,Zadar,HR,44.12,15.24,44.6,100,2,1.12,1605316809
13,Qaanaaq,GL,77.48,-69.36,1.09,76,56,7.09,1605316809
14,Avarua,CK,-21.21,-159.78,78.8,69,94,6.93,1605316809
15,Lebu,CL,-37.62,-73.65,51.69,90,12,9.48,1605316809
16,Atuona,PF,-9.8,-139.03,77.77,75,5,15.97,1605316809
17,Punta Arenas,CL,-53.15,-70.92,37.4,86,75,24.16,1605316810
18,Ushuaia,AR,-54.8,-68.3,46.4,61,75,18.34,1605316810
19,Srednekolymsk,RU,67.45,153.68,-4.88,88,100,2.21,1605316539
20,Liverpool,GB,53.41,-2.98,52.0,81,0,11.41,1605316654
21,Dikson,RU,73.51,80.55,3.02,94,100,19.37,1605316810
22,Saint George,US,37.1,-113.58,57.2,24,1,4.7,1605316780
23,Busselton,AU,-33.65,115.33,64.0,84,46,18.14,1605316810
24,Bethel,US,41.37,-73.41,42.01,93,90,4.0,1605316519
25,Tignère,CM,7.37,12.65,68.72,50,100,1.66,1605316810
26,Vaini,TO,-21.2,-175.2,82.4,78,75,9.17,1605316810
27,Thompson,CA,55.74,-97.86,17.6,100,90,4.7,1605316811
28,Kapaa,US,22.08,-159.32,82.4,69,40,16.11,1605316811
29,Saldanha,ZA,-33.01,17.94,62.6,67,21,2.24,1605316811
30,Bluff,NZ,-46.6,168.33,69.01,51,100,13.0,1605316811
31,Alfredo Chaves,BR,-20.64,-40.75,78.8,78,40,14.99,1605316811
32,Rikitea,PF,-23.12,-134.97,75.87,78,58,10.92,1605316811
33,Adrar,MR,20.5,-10.07,77.45,18,100,9.04,1605316811
34,San Quintín,MX,30.48,-115.95,63.46,67,0,19.35,1605316811
35,Urdoma,RU,61.75,48.54,15.67,94,100,3.06,1605316812
36,Barrow,US,71.29,-156.79,17.6,78,90,14.99,1605316785
37,East London,ZA,-33.02,27.91,69.89,87,0,6.58,1605316812
38,Mar del Plata,AR,-38.0,-57.56,66.0,88,0,5.82,1605316812
39,Scarborough,GB,54.28,-0.4,45.0,86,100,4.0,1605316812
40,Kargil,IN,34.57,76.1,29.97,70,100,7.27,1605316812
41,Saskylakh,RU,71.92,114.08,-9.87,90,89,2.08,1605316812
42,Aktau,KZ,43.65,51.2,28.4,86,40,6.71,1605316812
43,Giohar,SO,2.78,45.5,73.83,93,0,4.85,1605316812
44,San Cristobal,VE,7.77,-72.22,68.45,91,100,1.1,1605316812
